nombre;cuit;domicilio;id_pais;contacto;email;telefono;activo
1 DE ABRIL S.A.;33-71131683-9;SALTA 1563 Piso:0 Dpto:0 S:0 T:0 M:0 9_DE_JULIO BUENOS_AIRES;1;sebastian.mogaburu;sebastian.mogaburu@lamadrugadaagro.com;NULL;1
9 COPAS S.R.L;30-71686907-1;RODRIGUEZ MANUEL A. GRAL. 1705  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;administracion;administracion@nuevecopas.com;Jimena: 11 2327-5106;1
AADESA S.A.;30-71043739-0;LIBERTAD 1041 Piso:4 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;roberto.sanchezcueto;roberto.sanchezcueto@aadesa.com.ar;NULL;1
ABASTECK S.A.;30-71698871-2;TERRERO 1284 SAN_ISIDRO BUENOS_AIRES;1;abasteck;abasteck@abasteck.com.ar;4723-4889/1141;1
ABS ARGENTINA S.A.;30-70909737-3;CASTELLANOS 1169 ESPERANZA SANTA_FE;1;Lucila.Sanchez;Lucila.Sanchez@genusplc.com;NULL;1
ACAY AGRO SA;30-70859971-5;147 Y VECINAL 0 BALCARCE BUENOS_AIRES;1;NULL;NULL;NULL;1
ACEITERA ARECO S.A.;33-71416755-9;ALSINA ADOLFO 1666 Piso:0 Dpto:0  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;indecar.redes;indecar.redes@gmail.com;Tomas: 1157028403;1
ACHAVAL - FERRER S.A.;30-70086601-3;COBOS ESQ.BELLA VISTA 2601  MENDOZA;1;eperez;eperez@achaval-ferrer.com;2613530542;1
ACONCAGUA EXPEDICIONES S.A.;30-70906633-8;PTE.ROBERTO M.ORTIZ 1539 GODOY_CRUZ MENDOZA;1;administracion;administracion@inka.com.ar;NULL;1
ACROPOLIS CABLES SA;30-65233757-7;AV CALCHAQUI 5500 EZPELETA BUENOS_AIRES;1;hernan.motz;"hernan.motz@kalop.com.ar; cyntia.rojas@kalop.com.ar";4365-7000 / Cyntia: 11 3833-5071;1
ACS SOLUCIONES S.A.;30-71464063-8;"HUERGO INGENIERO AV. 969 Piso:5&#186; Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES";1;lalloni;lalloni@adistec.com;NULL;1
ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;33-69345023-9;YRIGOYEN HIPOLITO 370 Piso:4 Dpto:4752  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;sdgsec;sdgsec@afip.gob.ar;NULL;1
ADVANCE CONSULTING SYSTEMS ARGENTINA S.A.;30-71143262-7;BARTOLOME MITRE 1011 LONGCHAMPS BUENOS_AIRES;1;ifiordalisi;ifiordalisi@acsautomotive.com.ar;NULL;1
AEQUITAS TRADE SRL;30-71475817-5;AUTOPISTA TTE. GENERAL JUAN JOSE VALLE K 266 ARROYO_SECO SANTA_FE;1;luciana.calderone;luciana.calderone@rambla.la;NULL;1
AGROLOG S.A.;30-71448232-3;MOREAU DE JUSTO A.AV 1780 Piso:3 Dpto:G  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;hector.rosales;hector.rosales@agrologsa.com;70790029 INT 111;1
AGUSTIN RIVERO;20-23696024-3;RUTA NACIONAL 14 KM 123,5 0 CONCEPCION_DEL_URUGUAY ENTRE_RIOS;1;arivero;arivero@foodtex.com.ar;3442612988;1
AJEBIM S.A.;33-71471075-9;SUNCHALES 835 Piso:PB  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;administracion;administracion@abyssargentina.com;NULL;1
AKRON S.A.;30-52184048-6;SANTIAGO DEL ESTERO 164 SAN_FRANCISCO CORDOBA;1;aranasa592;aranasa592@gmail.com;+54 9 3517 67-8521;1
ALBERTO J MACUA S A;30-60541628-0;LOPEZ Y PLANES 4250  SANTA_FE;1;paulagiacomelli;paulagiacomelli@macua.com.ar;0342-4503700 Interno 727;1
ALEJANDRA ANDREA FERECHIAN;23-22110535-4;PUJOL 1435 Piso:3 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
ALESTEMAR SOCIEDAD ANONIMA;30-71455740-4;MONTEVIDEO 127 Piso:6 Dpto:9  MENDOZA;1;NULL;NULL;NULL;1
ALFREDO PORTILLO;20-17611375-9;SCALABRINI ORTIZ AV. 2702 Piso:2  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;danieldimac;danieldimac@gmail.com;NULL;1
ALICIA LAURA GONZALEZ;23-14670384-4;EUG TAPIA DE CRUZ 727 ESCOBAR BUENOS_AIRES;1;alisil.joyeria;alisil.joyeria@gmail.com;Claudia 15 348 440-6329;1
ALIMENTOS MAGROS S A;30-70773160-1;RUTA PROVINCIAL 3 JUSTINIANO_POSSE CORDOBA;1;cquinteros;"cquinteros@acacoop.com.ar;mjfernandez@acacoop.com.ar";Camila (03537)430600-430601-431548 int 101;1
ALUFLEX S A;33-66204411-9;ARGIRO 205 Piso:- Dpto:- S:- T:- M:-  SAN_LUIS;1;AFSanLuis.FacturaElectronicaCompras;AFSanLuis.FacturaElectronicaCompras@amcor.com;CABA: 3751-5300 / San Luis: 0266 4249000;1
AMBAR SUITES S. R. L.;33-71816461-9;TUCUMAN 1118  SANTA_FE;1;virginiacolu;virginiacolu@gmail.com;+54 9 341 277-2732;1
AMERICAN TRAVEL COMPANY S.R.L.;30-71739845-5;ESMERALDA 672 Piso:10 Dpto:14  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;info;info@manchesterviajes.tur.ar;NULL;1
A M MOTORS SA;30-70445787-8;H YRIGOYEN 7598 BANFIELD BUENOS_AIRES;1;federico;federico@inoriza-racing.com.ar;15-3928-9466;1
ANDRES ALBERTO SODIRO;20-33824081-4;GODOY CRUZ 457  SANTA_FE;1;NULL;NULL;NULL;1
ANGEL ANIBAL ABRAHAM;20-27311447-6;MARTINEZ ROSAS 1233 Piso:2 Dpto:4  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;info;info@gattipublicidad.com;Pilar: 11 5993-203;1
ANIMAL STUDIO S.R.L.;30-71250925-9;LIBERTAD 420 Piso:5 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
ANNELI ALVAREZ;27-26910988-8;SARMIENTO 487  SANTA_CRUZ;1;anneli;anneli@lcalibreria.com.ar;1150190423;1
ANTARES TECHNOLOGIES S.R.L.;33-71126841-9;VIDT 2033 Piso:6 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;nsosa;nsosa@antaresautomation.com;3400511545;1
AP - BIOTECH S.R.L.;33-71213185-9;FELIX AZARA 757 LOMAS_DE_ZAMORA BUENOS_AIRES;1;mburis;mburis@apbiotech.com.ar;NULL;1
APSA INTERNACIONAL S A;30-70777600-1;INT. JUAN LUMBRERAS (RUTA 24) 1800  BUENOS_AIRES;1;dharnan;dharnan@apsanet.com.ar;237-4857300 Daiana;1
ARAWAK SA;30-70722699-0;"ARRIBE&#209;OS 1307  CIUDAD_AUTONOMA_DE_BUENOS_AIRES";1;micaela;micaela@arawak.com.ar;NULL;1
ARFLOW SA;30-62884989-3;PAROISSIEN 1686 Piso:1  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;comercial;comercial@arflow.com;1141613431;1
ARGUL Y C I A S A;30-64463458-9;CALLE 21 1213 BERAZATEGUI BUENOS_AIRES;1;compradorjr;"compradorjr@argul.com.ar; maximiliano.barrera@argul.com.ar";4391-2300;1
Arionkoder Global LLC;55-00000212-6;777 BRICKELL AVE SUITE 1210 MIAMI, FL 33131  ;1;eric;eric@arionkoder.com;NULL;1
ARISTOBULO GOMEZ RUPEREZ SOCIEDAD ANONIMA;30-60284606-3;VALLEJOS 4526  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;agazzano1959;agazzano1959@hotmail.com;NULL;1
ARKEMA ARGENTINA  S.A.U.;30-62621683-4;3 DE FEBRERO 2750 Piso:3  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Gabriela.ALFONSO;Gabriela.ALFONSO@bostik.com;Gabriela: 4784-6464 / 4788-3494 ext. 4509 / Cel: 5580-4012;1
ARQUINAT SRL;30-70853640-3;"O&apos;HIGGINS 2029 Piso:1 Dpto:5  CIUDAD_AUTONOMA_DE_BUENOS_AIRES";1;fpascual;"fpascual@rubinat.com.ar; administracion@rubinat.com.ar; pcasetta@rubinat.com.ar; ani@rubinat.com.ar";4761-1890;1
ARTEKIUM TECHNOLOGY STUDIO S.A.;30-71635519-1;MOLDES 3035 Piso:6 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;julieta.torrillas;julieta.torrillas@onebitsolution.com;-673888;1
ASESORES PUBLICITARIOS S A;30-70133703-0;SANTA FE 334 RESISTENCIA CHACO;1;guillermo.caliva;guillermo.caliva@asesores-publicitarios.com;NULL;1
ASISTENCIA SANITARIA INTEGRAL S.A.;33-70913614-9;AV SAN MARTIN 2119 Piso:0 Dpto:0 CASEROS BUENOS_AIRES;1;lucas.palmioli;lucas.palmioli@sanatoriomodelo.com.ar;47163261;1
ASOCIACION ARGENTINA DE CONSORCIOS REGIONALES DE EXPERIMENTACION  AGRICOLA;33-54174243-9;SARMIENTO 1236 Piso:04  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;slacapmesure;slacapmesure@crea.org.ar;NULL;1
ASOCIACION ARGENTINA DE LOS ADVENTISTAS DEL SEPTIMO DIA;30-50097401-6;URIARTE 2429  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;ana.olivares;ana.olivares@adventistas.org.ar; Ana Laura Olivares CELULAR: 1138848532;1
ASOCIACION CIVIL JOVENES ADMINISTRADORES DE EMPRESAS JAE;30-71685064-8;"AV. LIBERTADOR SAN MART&#205;N OESTE 1890  SAN_JUAN";1;memilceperez99;memilceperez99@gmail.com;NULL;1
ASOCIACION CONSULTORA MUTUAL;30-71108832-2;MARTIN DE GAINZA 801 Piso:1 Dpto:UF 60  BUENOS_AIRES;1;MVelazquez;MVelazquez@consultoramutual.com.ar;11 2867 1544;1
ASOCIACION DEL INSTITUTO MEKHITARISTA;30-53526809-2;DEL PINO VIRREY 3511  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;administracion;administracion@colegiomekhitarista.edu.ar;45542693;1
ASOCIACION DE TRABAJADORES DE LA UNIVERSIDAD NACIONAL DE LANUS;30-71510110-2;29 SEPTIEMBRE 3901 REMEDIOS_DE_ESCALADA BUENOS_AIRES;1;jmdiaz985;jmdiaz985@gmail.com;NULL;1
"ASOCIACION GREMIAL DE EMPLEADOS JUDICIALES DE LA PROVINCIA DE SANTA CRUZ ""3 DE JULIO""";30-64020464-4;RAMON Y CAJAL 257 Piso:P.B. RIO_GALLEGOS SANTA_CRUZ;1;mylarrosa;mylarrosa@hotmail.com;(02966) 15 657664;1
ASOCIACION GREMIAL DEL MAGISTERIO DE ENTRE RIOS;30-60859860-6;ALAMEDA DE LA FEDERACION 114 PARANA ENTRE_RIOS;1;proveedores;proveedores@agmer.org.ar;NULL;1
ASOCIACION MUTUAL DE TRABAJADORES ACEITEROS 29 DE OCTUBRE;30-71116185-2;GARCIA VELLOSO 791  SANTA_FE;1;mutual;mutual@sindicato-aceitero.com.ar;NULL;1
ASOCIACION OBRERA MINERA ARGENTINA;30-50321810-7;ROSARIO 434  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rctrejoaoma;rctrejoaoma@hotmail.com;NULL;1
